# Truth table
# Generated from circuit NextStateControlUnit
# Exported on Tue May 02 16:04:46 CEST 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

CurrentState[3..0] Op[5..0] Overflow | NextState[3..0]
       0010         011000     1     |      0101      
       0010         011001     0     |      0101      
       0010         011001     1     |      0101      
       0010         011010     0     |      0101      
       0010         011010     1     |      0101      
       0010         011011     0     |      0101      
       0010         011011     1     |      0101      
       0010         011100     0     |      0101      
       0010         011100     1     |      0101      
       0010         011101     0     |      0101      
       0010         011101     1     |      0101      
       0010         011110     0     |      0101      
       0010         011110     1     |      0101      
       0010         011111     0     |      0101      
       0010         011111     1     |      0101      
       0010         100000     0     |      0011      
       0010         100000     1     |      0011      
       0010         100001     0     |      0011      
       0010         100001     1     |      0011      
       0010         100010     0     |      0011      
       0010         100010     1     |      0011      
       0010         100011     0     |      0011      
       0010         100011     1     |      0011      
       0010         100100     0     |      0011      
       0010         100100     1     |      0011      
       0010         100101     0     |      0011      
       0010         100101     1     |      0011      
       0010         100110     0     |      0011      
       0010         100110     1     |      0011      
       0010         100111     0     |      0011      
       0010         100111     1     |      0011      
       0010         101000     0     |      0101      
       0010         101000     1     |      0101      
       0010         101001     0     |      0101      
       0010         101001     1     |      0101      
       0010         101010     0     |      0101      
       0010         101010     1     |      0101      
       0010         101011     0     |      0101      
       0010         101011     1     |      0101      
       0010         101100     0     |      0101      
       0010         101100     1     |      0101      
       0010         101101     0     |      0101      
       0010         101101     1     |      0101      
       0010         101110     0     |      0101      
       0010         101110     1     |      0101      
       0010         101111     0     |      0101      
       0010         101111     1     |      0101      
       0010         110000     0     |      0011      
       0010         110000     1     |      0011      
       0010         110001     0     |      0011      
       0010         110001     1     |      0011      
       0010         110010     0     |      0011      
       0010         110010     1     |      0011      
       0010         110011     0     |      0011      
       0010         110011     1     |      0011      
       0010         110100     0     |      0011      
       0010         110100     1     |      0011      
       0010         110101     0     |      0011      
       0010         110101     1     |      0011      
       0010         110110     0     |      0011      
       0010         110110     1     |      0011      
       0010         110111     0     |      0011      
       0010         110111     1     |      0011      
       0010         111000     0     |      0101      
       0010         111000     1     |      0101      
       0010         111001     0     |      0101      
       0010         111001     1     |      0101      
       0010         111010     0     |      0101      
       0010         111010     1     |      0101      
       0010         111011     0     |      0101      
       0010         111011     1     |      0101      
       0010         111100     0     |      0101      
       0010         111100     1     |      0101      
       0010         111101     0     |      0101      
       0010         111101     1     |      0101      
       0010         111110     0     |      0101      
       0010         111110     1     |      0101      
       0010         111111     0     |      0101      
       0010         111111     1     |      0101      
       0011         000000     0     |      0100      
       0011         000000     1     |      0100      
       0011         000001     0     |      0100      
       0011         000001     1     |      0100      
       0011         000010     0     |      0100      
       0011         000010     1     |      0100      
       0011         000011     0     |      0100      
       0011         000011     1     |      0100      
       0011         000100     0     |      0100      
       0011         000100     1     |      0100      
       0011         000101     0     |      0100      
       0011         000101     1     |      0100      
       0011         000110     0     |      0100      
       0011         000110     1     |      0100      
       0011         000111     0     |      0100      
       0011         000111     1     |      0100      
       0011         001000     0     |      0100      
       0011         001000     1     |      0100      
       0011         001001     0     |      0100      
       0011         001001     1     |      0100      
       0011         001010     0     |      0100      
       0011         001010     1     |      0100      
       0011         001011     0     |      0100      
       0011         001011     1     |      0100      
       0011         001100     0     |      0100      
       0011         001100     1     |      0100      
       0011         001101     0     |      0100      
       0011         001101     1     |      0100      
       0011         001110     0     |      0100      
       0011         001110     1     |      0100      
       0011         001111     0     |      0100      
       0011         001111     1     |      0100      
       0011         010000     0     |      0100      
       0011         010000     1     |      0100      
       0011         010001     0     |      0100      
       0011         010001     1     |      0100      
       0011         010010     0     |      0100      
       0011         010010     1     |      0100      
       0011         010011     0     |      0100      
       0011         010011     1     |      0100      
       0011         010100     0     |      0100      
       0011         010100     1     |      0100      
       0011         010101     0     |      0100      
       0011         010101     1     |      0100      
       0011         010110     0     |      0100      
       0011         010110     1     |      0100      
       0011         010111     0     |      0100      
       0011         010111     1     |      0100      
       0011         011000     0     |      0100      
       0011         011000     1     |      0100      
       0011         011001     0     |      0100      
       0011         011001     1     |      0100      
       0011         011010     0     |      0100      
       0011         011010     1     |      0100      
       0011         011011     0     |      0100      
       0011         011011     1     |      0100      
       0011         011100     0     |      0100      
       0011         011100     1     |      0100      
       0011         011101     0     |      0100      
       0011         011101     1     |      0100      
       0011         011110     0     |      0100      
       0011         011110     1     |      0100      
       0011         011111     0     |      0100      
       0011         011111     1     |      0100      
       0011         100000     0     |      0100      
       0011         100000     1     |      0100      
       0011         100001     0     |      0100      
       0011         100001     1     |      0100      
       0011         100010     0     |      0100      
       0011         100010     1     |      0100      
       0011         100011     0     |      0100      
       0011         100011     1     |      0100      
       0011         100100     0     |      0100      
       0011         100100     1     |      0100      
       0011         100101     0     |      0100      
       0011         100101     1     |      0100      
       0011         100110     0     |      0100      
       0011         100110     1     |      0100      
       0011         100111     0     |      0100      
       0011         100111     1     |      0100      
       0011         101000     0     |      0100      
       0011         101000     1     |      0100      
       0011         101001     0     |      0100      
       0011         101001     1     |      0100      
       0011         101010     0     |      0100      
       0011         101010     1     |      0100      
       0011         101011     0     |      0100      
       0011         101011     1     |      0100      
       0011         101100     0     |      0100      
       0011         101100     1     |      0100      
       0011         101101     0     |      0100      
       0011         101101     1     |      0100      
       0011         101110     0     |      0100      
       0011         101110     1     |      0100      
       0011         101111     0     |      0100      
       0011         101111     1     |      0100      
       0011         110000     0     |      0100      
       0011         110000     1     |      0100      
       0011         110001     0     |      0100      
       0011         110001     1     |      0100      
       0011         110010     0     |      0100      
       0011         110010     1     |      0100      
       0011         110011     0     |      0100      
       0011         110011     1     |      0100      
       0011         110100     0     |      0100      
       0011         110100     1     |      0100      
       0011         110101     0     |      0100      
       0011         110101     1     |      0100      
       0011         110110     0     |      0100      
       0011         110110     1     |      0100      
       0011         110111     0     |      0100      
       0011         110111     1     |      0100      
       0011         111000     0     |      0100      
       0011         111000     1     |      0100      
       0011         111001     0     |      0100      
       0011         111001     1     |      0100      
       0011         111010     0     |      0100      
       0011         111010     1     |      0100      
       0011         111011     0     |      0100      
       0011         111011     1     |      0100      
       0011         111100     0     |      0100      
       0011         111100     1     |      0100      
       0011         111101     0     |      0100      
       0011         111101     1     |      0100      
       0011         111110     0     |      0100      
       0011         111110     1     |      0100      
       0011         111111     0     |      0100      
       0011         111111     1     |      0100      
       0100         000000     0     |      0000      
       0100         000000     1     |      0000      
       0100         000001     0     |      0000      
       0100         000001     1     |      0000      
       0100         000010     0     |      0000      
       0100         000010     1     |      0000      
       0100         000011     0     |      0000      
       0100         000011     1     |      0000      
       0100         000100     0     |      0000      
       0100         000100     1     |      0000      
       0100         000101     0     |      0000      
       0100         000101     1     |      0000      
       0100         000110     0     |      0000      
       0100         000110     1     |      0000      
       0100         000111     0     |      0000      
       0100         000111     1     |      0000      
       0100         001000     0     |      0000      
       0100         001000     1     |      0000      
       0100         001001     0     |      0000      
       0100         001001     1     |      0000      
       0100         001010     0     |      0000      
       0100         001010     1     |      0000      
       0100         001011     0     |      0000      
       0100         001011     1     |      0000      
       0100         001100     0     |      0000      
       0100         001100     1     |      0000      
       0100         001101     0     |      0000      
       0100         001101     1     |      0000      
       0100         001110     0     |      0000      
       0100         001110     1     |      0000      
       0100         001111     0     |      0000      
       0100         001111     1     |      0000      
       0100         010000     0     |      0000      
       0100         010000     1     |      0000      
       0100         010001     0     |      0000      
       0100         010001     1     |      0000      
       0100         010010     0     |      0000      
       0100         010010     1     |      0000      
       0100         010011     0     |      0000      
       0100         010011     1     |      0000      
       0100         010100     0     |      0000      
       0100         010100     1     |      0000      
       0100         010101     0     |      0000      
       0100         010101     1     |      0000      
       0100         010110     0     |      0000      
       0100         010110     1     |      0000      
       0100         010111     0     |      0000      
       0100         010111     1     |      0000      
       0100         011000     0     |      0000      
       0100         011000     1     |      0000      
       0100         011001     0     |      0000      
       0100         011001     1     |      0000      
       0100         011010     0     |      0000      
       0100         011010     1     |      0000      
       0100         011011     0     |      0000      
       0100         011011     1     |      0000      
       0100         011100     0     |      0000      
       0100         011100     1     |      0000      
       0100         011101     0     |      0000      
       0100         011101     1     |      0000      
       0100         011110     0     |      0000      
       0100         011110     1     |      0000      
       0100         011111     0     |      0000      
       0100         011111     1     |      0000      
       0100         100000     0     |      0000      
       0100         100000     1     |      0000      
       0100         100001     0     |      0000      
       0100         100001     1     |      0000      
       0100         100010     0     |      0000      
       0100         100010     1     |      0000      
       0100         100011     0     |      0000      
       0100         100011     1     |      0000      
       0100         100100     0     |      0000      
       0100         100100     1     |      0000      
       0100         100101     0     |      0000      
       0100         100101     1     |      0000      
       0100         100110     0     |      0000      
       0100         100110     1     |      0000      
       0100         100111     0     |      0000      
       0100         100111     1     |      0000      
       0100         101000     0     |      0000      
       0100         101000     1     |      0000      
       0100         101001     0     |      0000      
       0100         101001     1     |      0000      
       0100         101010     0     |      0000      
       0100         101010     1     |      0000      
       0100         101011     0     |      0000      
       0100         101011     1     |      0000      
       0100         101100     0     |      0000      
       0100         101100     1     |      0000      
       0100         101101     0     |      0000      
       0100         101101     1     |      0000      
       0100         101110     0     |      0000      
       0100         101110     1     |      0000      
       0100         101111     0     |      0000      
       0100         101111     1     |      0000      
       0100         110000     0     |      0000      
       0100         110000     1     |      0000      
       0100         110001     0     |      0000      
       0100         110001     1     |      0000      
       0100         110010     0     |      0000      
       0100         110010     1     |      0000      
       0100         110011     0     |      0000      
       0100         110011     1     |      0000      
       0100         110100     0     |      0000      
       0100         110100     1     |      0000      
       0100         110101     0     |      0000      
       0100         110101     1     |      0000      
       0100         110110     0     |      0000      
       0100         110110     1     |      0000      
       0100         110111     0     |      0000      
       0100         110111     1     |      0000      
       0100         111000     0     |      0000      
       0100         111000     1     |      0000      
       0100         111001     0     |      0000      
       0100         111001     1     |      0000      
       0100         111010     0     |      0000      
       0100         111010     1     |      0000      
       0100         111011     0     |      0000      
       0100         111011     1     |      0000      
       0100         111100     0     |      0000      
       0100         111100     1     |      0000      
       0100         111101     0     |      0000      
       0100         111101     1     |      0000      
       0100         111110     0     |      0000      
       0100         111110     1     |      0000      
       0100         111111     0     |      0000      
       0100         111111     1     |      0000      
       0101         000000     0     |      0000      
       0101         000000     1     |      0000      
       0101         000001     0     |      0000      
       0101         000001     1     |      0000      
       0101         000010     0     |      0000      
       0101         000010     1     |      0000      
       0101         000011     0     |      0000      
       0101         000011     1     |      0000      
       0101         000100     0     |      0000      
       0101         000100     1     |      0000      
       0101         000101     0     |      0000      
       0101         000101     1     |      0000      
       0101         000110     0     |      0000      
       0101         000110     1     |      0000      
       0101         000111     0     |      0000      
       0101         000111     1     |      0000      
       0101         001000     0     |      0000      
       0101         001000     1     |      0000      
       0101         001001     0     |      0000      
       0101         001001     1     |      0000      
       0101         001010     0     |      0000      
       0101         001010     1     |      0000      
       0101         001011     0     |      0000      
       0101         001011     1     |      0000      
       0101         001100     0     |      0000      
       0101         001100     1     |      0000      
       0101         001101     0     |      0000      
       0101         001101     1     |      0000      
       0101         001110     0     |      0000      
       0101         001110     1     |      0000      
       0101         001111     0     |      0000      
       0101         001111     1     |      0000      
       0101         010000     0     |      0000      
       0101         010000     1     |      0000      
       0101         010001     0     |      0000      
       0101         010001     1     |      0000      
       0101         010010     0     |      0000      
       0101         010010     1     |      0000      
       0101         010011     0     |      0000      
       0101         010011     1     |      0000      
       0101         010100     0     |      0000      
       0101         010100     1     |      0000      
       0101         010101     0     |      0000      
       0101         010101     1     |      0000      
       0101         010110     0     |      0000      
       0101         010110     1     |      0000      
       0101         010111     0     |      0000      
       0101         010111     1     |      0000      
       0101         011000     0     |      0000      
       0101         011000     1     |      0000      
       0101         011001     0     |      0000      
       0101         011001     1     |      0000      
       0101         011010     0     |      0000      
       0101         011010     1     |      0000      
       0101         011011     0     |      0000      
       0101         011011     1     |      0000      
       0101         011100     0     |      0000      
       0101         011100     1     |      0000      
       0101         011101     0     |      0000      
       0101         011101     1     |      0000      
       0101         011110     0     |      0000      
       0101         011110     1     |      0000      
       0101         011111     0     |      0000      
       0101         011111     1     |      0000      
       0101         100000     0     |      0000      
       0101         100000     1     |      0000      
       0101         100001     0     |      0000      
       0101         100001     1     |      0000      
       0101         100010     0     |      0000      
       0101         100010     1     |      0000      
       0101         100011     0     |      0000      
       0101         100011     1     |      0000      
       0101         100100     0     |      0000      
       0101         100100     1     |      0000      
       0101         100101     0     |      0000      
       0101         100101     1     |      0000      
       0101         100110     0     |      0000      
       0101         100110     1     |      0000      
       0101         100111     0     |      0000      
       0101         100111     1     |      0000      
       0101         101000     0     |      0000      
       0101         101000     1     |      0000      
       0101         101001     0     |      0000      
       0101         101001     1     |      0000      
       0101         101010     0     |      0000      
       0101         101010     1     |      0000      
       0101         101011     0     |      0000      
       0101         101011     1     |      0000      
       0101         101100     0     |      0000      
       0101         101100     1     |      0000      
       0101         101101     0     |      0000      
       0101         101101     1     |      0000      
       0101         101110     0     |      0000      
       0101         101110     1     |      0000      
       0101         101111     0     |      0000      
       0101         101111     1     |      0000      
       0101         110000     0     |      0000      
       0101         110000     1     |      0000      
       0101         110001     0     |      0000      
       0101         110001     1     |      0000      
       0101         110010     0     |      0000      
       0101         110010     1     |      0000      
       0101         110011     0     |      0000      
       0101         110011     1     |      0000      
       0101         110100     0     |      0000      
       0101         110100     1     |      0000      
       0101         110101     0     |      0000      
       0101         110101     1     |      0000      
       0101         110110     0     |      0000      
       0101         110110     1     |      0000      
       0101         110111     0     |      0000      
       0101         110111     1     |      0000      
       0101         111000     0     |      0000      
       0101         111000     1     |      0000      
       0101         111001     0     |      0000      
       0101         111001     1     |      0000      
       0101         111010     0     |      0000      
       0101         111010     1     |      0000      
       0101         111011     0     |      0000      
       0101         111011     1     |      0000      
       0101         111100     0     |      0000      
       0101         111100     1     |      0000      
       0101         111101     0     |      0000      
       0101         111101     1     |      0000      
       0101         111110     0     |      0000      
       0101         111110     1     |      0000      
       0101         111111     0     |      0000      
       0101         111111     1     |      0000      
       0110         000000     0     |      0111      
       0110         000000     1     |      0111      
       0110         000001     0     |      0111      
       0110         000001     1     |      0111      
       0110         000010     0     |      0111      
       0110         000010     1     |      0111      
       0110         000011     0     |      0111      
       0110         000011     1     |      0111      
       0110         000100     0     |      0111      
       0110         000100     1     |      0111      
       0110         000101     0     |      0111      
       0110         000101     1     |      0111      
       0110         000110     0     |      0111      
       0110         000110     1     |      0111      
       0110         000111     0     |      0111      
       0110         000111     1     |      0111      
       0110         001000     0     |      0111      
       0110         001000     1     |      0111      
       0110         001001     0     |      0111      
       0110         001001     1     |      0111      
       0110         001010     0     |      0111      
       0110         001010     1     |      0111      
       0110         001011     0     |      0111      
       0110         001011     1     |      0111      
       0110         001100     0     |      0111      
       0110         001100     1     |      0111      
       0110         001101     0     |      0111      
       0110         001101     1     |      0111      
       0110         001110     0     |      0111      
       0110         001110     1     |      0111      
       0110         001111     0     |      0111      
       0110         001111     1     |      0111      
       0110         010000     0     |      0111      
       0110         010000     1     |      0111      
       0110         010001     0     |      0111      
       0110         010001     1     |      0111      
       0110         010010     0     |      0111      
       0110         010010     1     |      0111      
       0110         010011     0     |      0111      
       0110         010011     1     |      0111      
       0110         010100     0     |      0111      
       0110         010100     1     |      0111      
       0110         010101     0     |      0111      
       0110         010101     1     |      0111      
       0110         010110     0     |      0111      
       0110         010110     1     |      0111      
       0110         010111     0     |      0111      
       0110         010111     1     |      0111      
       0110         011000     0     |      0111      
       0110         011000     1     |      0111      
       0110         011001     0     |      0111      
       0110         011001     1     |      0111      
       0110         011010     0     |      0111      
       0110         011010     1     |      0111      
       0110         011011     0     |      0111      
       0110         011011     1     |      0111      
       0110         011100     0     |      0111      
       0110         011100     1     |      0111      
       0110         011101     0     |      0111      
       0110         011101     1     |      0111      
       0110         011110     0     |      0111      
       0110         011110     1     |      0111      
       0110         011111     0     |      0111      
       0110         011111     1     |      0111      
       0110         100000     0     |      0111      
       0110         100000     1     |      0111      
       0110         100001     0     |      0111      
       0110         100001     1     |      0111      
       0110         100010     0     |      0111      
       0110         100010     1     |      0111      
       0110         100011     0     |      0111      
       0110         100011     1     |      0111      
       0110         100100     0     |      0111      
       0110         100100     1     |      0111      
       0110         100101     0     |      0111      
       0110         100101     1     |      0111      
       0110         100110     0     |      0111      
       0110         100110     1     |      0111      
       0110         100111     0     |      0111      
       0110         100111     1     |      0111      
       0110         101000     0     |      0111      
       0110         101000     1     |      0111      
       0110         101001     0     |      0111      
       0110         101001     1     |      0111      
       0110         101010     0     |      0111      
       0110         101010     1     |      0111      
       0110         101011     0     |      0111      
       0110         101011     1     |      0111      
       0110         101100     0     |      0111      
       0110         101100     1     |      0111      
       0110         101101     0     |      0111      
       0110         101101     1     |      0111      
       0110         101110     0     |      0111      
       0110         101110     1     |      0111      
       0110         101111     0     |      0111      
       0110         101111     1     |      0111      
       0110         110000     0     |      0111      
       0110         110000     1     |      0111      
       0110         110001     0     |      0111      
       0110         110001     1     |      0111      
       0110         110010     0     |      0111      
       0110         110010     1     |      0111      
       0110         110011     0     |      0111      
       0110         110011     1     |      0111      
       0110         110100     0     |      0111      
       0110         110100     1     |      0111      
       0110         110101     0     |      0111      
       0110         110101     1     |      0111      
       0110         110110     0     |      0111      
       0110         110110     1     |      0111      
       0110         110111     0     |      0111      
       0110         110111     1     |      0111      
       0110         111000     0     |      0111      
       0110         111000     1     |      0111      
       0110         111001     0     |      0111      
       0110         111001     1     |      0111      
       0110         111010     0     |      0111      
